user_id,lock_id,sale_datetime,sale_id,gross_profit
17321242,27693414,2022-12-26 19:37:59,1688211,1454.14
17372692,26096493,2022-10-27 12:53:58,1631926,1077.66
17468012,25983221,2022-10-17 00:51:56,1623095,-613.23
17500111,25333230,2022-09-24 17:35:37,1590308,532.6
17615724,25430928,2022-09-28 12:52:41,1592373,309.58
17617619,26150795,2022-10-22 17:23:43,1624710,-68.55
17697954,25075356,2022-10-01 17:21:36,1592374,22.52
17792954,26142229,2022-10-31 19:30:48,1628736,380.71
17811195,26204997,2022-10-26 17:55:10,1632019,155.74
17826353,27311828,2022-12-12 14:33:55,1675840,-6.41
17850015,26887170,2022-11-18 21:50:02,1652936,885.07
17912209,25871835,2022-10-13 03:33:23,1603280,89.33
17959835,26397017,2022-11-03 23:01:57,1640296,210.29
17993794,26302151,2022-10-28 16:44:00,1628882,-28.9
18016448,25459435,2022-09-30 18:23:18,1592715,467.29
18099705,25598986,2022-10-06 00:57:59,1598752,1549.55
18100374,26377984,2022-11-02 20:01:15,1631987,-147.91
18134093,26654126,2022-11-11 21:29:05,1642050,-126.5
18151360,25484979,2022-10-04 21:30:46,1592473,879.57
18198462,25556968,2022-10-02 17:24:54,1591855,358.34
18271436,25312810,2022-09-29 21:02:07,1592310,557.38
18282631,27385601,2023-04-23 19:40:36,1803778,-97.74
18287495,26276912,2022-11-12 14:04:43,1645222,880.26
18364545,25397038,2022-09-28 23:26:37,1592405,1002.53
18408429,26580809,2022-11-07 19:27:45,1641838,-99.61
18424610,25551779,2022-10-02 12:48:36,1592692,35.27
18476209,26477824,2022-11-03 16:10:35,1632031,-5.01
18483425,27191204,2022-12-06 02:41:47,1675736,88.29
18494536,25337710,2022-09-24 20:01:34,1592480,1675.06
18498191,26166343,2022-11-10 14:54:33,1639857,857.54
18640565,26423662,2022-11-02 18:55:27,1631928,132.98
18680309,26390994,2022-10-31 14:19:48,1631964,-55.38
18700527,26350963,2022-11-12 23:16:36,1640865,-181.09
18718867,25304587,2022-09-23 14:58:09,1591726,-477.53
18724804,25596422,2022-10-04 16:51:49,1592322,377.1
18732369,26338942,2022-11-01 00:13:03,1628413,685.13
